id,Count,shape_x,shape_y,shape_z
mp-1179030,3763200,80,168,280
mp-569711,1728000,120,120,120
mp-1215964,800000,80,100,100
mp-1221397,322560,48,48,140
mp-761207,1792000,80,140,160
mp-1040324,2744000,140,140,140
mp-5090,1119744,108,108,96
mp-1192723,4014080,128,160,196
mp-1203120,2097152,128,128,128
mp-1176577,1866240,108,108,160
mp-675452,3628800,120,120,252
mp-777916,1474560,96,96,160
mp-1213717,2508800,100,128,196
mp-1219421,2457600,80,160,192
mp-1078719,1354752,112,112,108
mp-1221292,1440000,120,120,100
mp-34144,1990656,96,96,216
mp-1307341,884736,96,96,96
mp-568793,4300800,80,112,480
mp-1197351,2370816,168,168,84
mp-1190471,3359232,216,216,72
mp-1189105,940800,84,80,140
mp-1224203,3010560,112,112,240
mp-862683,512000,80,80,80
mp-1113924,1259712,108,108,108
mp-1220980,1259712,108,108,108
mp-1184235,373248,72,72,72
mp-1195529,2903040,140,144,144
mp-1183469,216000,60,60,60
mp-18695,592704,84,84,84
mp-903,512000,80,80,80
mp-1072474,460800,60,60,128
mp-722666,516096,56,96,96
mp-1102324,884736,96,96,96
mp-1220223,2064384,96,128,168
mp-569005,3538944,192,192,96
mp-553956,790272,84,84,112
mp-861976,373248,72,72,72
mp-759274,1792000,140,80,160
mp-2233162,1179648,96,96,128
mp-1210042,2239488,144,144,108
mp-758690,768000,80,80,120
mp-553972,1814400,100,108,168
mp-973970,2744000,140,140,140
mp-30390,373248,72,72,72
mp-866170,373248,72,72,72
mp-7280,1806336,84,96,224
mp-1389909,592704,84,84,84
mp-776269,1327104,96,96,144
mp-20890,345600,60,60,96
mp-1216319,800000,80,100,100
mp-1175847,1200000,100,100,120
mp-1100625,2048000,80,80,320
mp-865656,262144,64,64,64
mp-30772,1728000,120,120,120
mp-779885,1990656,128,108,144
mp-1195353,2488320,96,108,240
mp-27502,589824,64,96,96
mp-16964,2257920,168,168,80
mp-1041754,1866240,96,108,180
mp-1247246,1075200,100,112,96
mp-540999,497664,72,72,96
mp-976953,409600,80,80,64
mp-976159,512000,80,80,80
mp-780313,2634240,112,140,168
mp-556752,2520000,100,140,180
mp-28402,2744000,140,140,140
mp-778007,2048000,80,80,320
mp-866692,2457600,160,160,96
mp-18498,1259712,108,108,108
mp-1882,384000,60,80,80
mp-569630,896000,80,80,140
mp-1105726,2097152,128,128,128
mp-757185,1536000,80,80,240
mp-1187720,512000,80,80,80
mp-999200,512000,80,80,80
